DATE,USAGE
21:25:20,0
21:25:21,0
21:25:22,0
21:25:23,0
21:25:24,1.246
21:25:25,0
21:25:26,6.995
21:25:27,0
21:25:28,0
21:25:29,1.736
21:25:30,0.066
21:25:31,1.495
21:25:32,0
21:25:33,0
21:25:34,0
21:25:35,0.108
21:25:36,0
21:25:37,0
21:25:38,1.475
21:25:39,1.522
21:25:40,0.13
21:25:41,0
21:25:42,0
21:25:43,0
21:25:44,0
21:25:45,0
21:25:46,0
21:25:47,0
21:25:48,0
21:25:49,0
21:25:50,0
21:25:51,0
21:25:53,0
21:25:54,0
21:25:55,0
21:25:56,0
21:25:57,0
21:25:58,0
21:25:59,0
21:26:00,0
21:26:01,0
21:26:02,0.248
21:26:03,0
21:26:04,0
21:26:05,0
21:26:06,0.59
21:26:07,0.844
21:26:08,1.215
21:26:09,0.78
21:26:10,4.376
21:26:11,1.994
21:26:12,0.39
21:26:13,0.52
21:26:14,0.6
21:26:15,0
21:26:16,0.78
21:26:17,1.17
21:26:18,0.26
21:26:19,1.152
21:26:20,1.04
